Time	inactive.TCR1	inactive.TCR2	inactive.TCR3	inactive.TCR4	inactive.TCR5	inactive.TCR6	inactive.TCR7	inactive.TCR8	inactive.TCR9	inactive.TCR10	inactive.TCR11	inactive.TCR12	inactive.TCR13	inactive.TCR14	inactive.TCR15	inactive.TCR16	inactive.TCR17	inactive.TCR18	inactive.TCR19	inactive.TCR20	inactive.TCR21	inactive.TCR22	inactive.TCR23	inactive.TCR24	inactive.TCR25	inactive.TCR26	inactive.TCR27	inactive.TCR28	inactive.TCR29	inactive.TCR30	inactive.TCR31	inactive.TCR32	inactive.TCR33	inactive.TCR34	inactive.TCR35	inactive.TCR36	inactive.TCR37	inactive.TCR38	inactive.TCR39	inactive.TCR40	inactive.TCR41	inactive.TCR42	inactive.TCR43	inactive.TCR44	inactive.TCR45	inactive.TCR46	inactive.TCR47	inactive.TCR48	inactive.TCR49	inactive.TCR50
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
